idx,smiles,count
bide-uc-3584,O=C(O)c1cc(F)c(C(F)(F)F)c(F)c1,3
bide-uc-1940,O=C(O)Cc1cccc(Cl)c1F,3
bide-uc-3687,CC(C)[C@H](Cl)C(=O)O,3
bide-uc-1118,O=C(O)c1cccc2c1OCCO2,3
bide-uc-1276,CC(C)(C)OCC(=O)O,3
bide-uc-4483,CC(C)(C(=O)O)c1ccc(O)cc1,3
bide-uc-2584,O=C(O)C1Cc2ccccc2O1,3
bide-uc-16,O=C(O)Cc1ccc(Cl)cc1Cl,3
bide-uc-3232,O=C(O)c1cccc(O)c1F,3
bide-uc-4493,O=C(O)c1cccc(C(F)F)c1,3
bide-uc-2188,C[C@](O)(CBr)C(=O)O,3
bide-uc-2720,O=C(O)C1(c2cccc(F)c2)CCCC1,3
bide-uc-3011,Cc1cc(Br)cc(C(=O)O)c1O,3
bide-uc-1038,C=Cc1ccc(C(=O)O)cc1,3
bide-uc-872,O=C(O)C1(Br)CCC1,3
bide-uc-2926,O=C(O)Cc1ccc(O)cc1F,3
bide-uc-2444,Cc1cc(O)cc(C(=O)O)c1,3
bide-uc-3188,CC1(C(=O)O)CCCNC1,3
bide-uc-733,O=C(O)c1ccc(Br)c(O)c1,3
bide-uc-2400,O=C(O)CN1CCCC1,3
bide-uc-1449,Cc1cccc(Cl)c1C(=O)O,3
bide-uc-4038,C[C@H](O)CC(=O)O,3
bide-uc-175,O=C(O)Cc1ccc(Br)cc1,3
bide-uc-2005,O=C(O)C1CCc2ccccc2O1,3
bide-uc-3729,O=C(O)c1c(Br)ccc(F)c1F,3
bide-uc-3089,O=C(O)CC1CCCCN1,3
bide-uc-549,O=C(O)c1cc(F)c(F)cc1Cl,3
bide-uc-4385,CNc1cccc(C(=O)O)c1,3
bide-uc-3303,COc1c(Cl)cc(Cl)cc1C(=O)O,3
bide-uc-3631,O=C(O)C1(c2cccc(F)c2)CC1,3
bide-uc-1734,Cc1cccc(C(=O)O)c1F,3
bide-uc-4765,O=C(O)CC1CCNC1,3
bide-uc-3798,Cc1cccc(C)c1CC(=O)O,3
bide-uc-3764,C/C(=C\C(=O)O)c1ccccc1,3
bide-uc-862,Cc1cc(C(=O)O)ccc1F,3
bide-uc-4285,CCc1cc(Br)ccc1C(=O)O,3
bide-uc-2985,O=C(O)C1=CCCCO1,3
bide-uc-3813,O=C(O)c1cccc(C(F)(F)F)c1O,3
bide-uc-952,O=C(O)c1ccc(O)c(Cl)c1,3
bide-uc-2096,CN1CCCC[C@@H]1C(=O)O,3
bide-uc-96,O=C(O)C1CCNCC1,3
bide-uc-5234,COc1ccc2c(c1)CCNC2C(=O)O,3
bide-uc-4892,O=C(O)c1[nH]ccc1Br,3
bide-uc-4240,COc1c(Br)ccc(C(=O)O)c1F,3
bide-uc-85,O=C(O)c1cccc(Cl)c1Cl,3
bide-uc-2480,COc1ccc(C(F)(F)F)cc1C(=O)O,3
bide-uc-3436,Cn1c(Br)ccc1C(=O)O,3
bide-uc-1155,Cc1occc1C(=O)O,3
bide-uc-201,CC(=Cc1ccccc1)C(=O)O,3
bide-uc-36,O=C(O)Cc1ccccc1Cl,3
bide-uc-1377,CCC1CCC(C(=O)O)CC1,3
bide-uc-1166,COc1ccc(C(=O)O)c(Cl)c1,3
bide-uc-137,O=C(O)[C@H]1CCCN1,3
bide-uc-4230,O=C(O)C1(c2ccccc2)CC1(F)F,3
bide-uc-5414,C[C@H](C(=O)O)N1CCCC1,3
bide-uc-177,O=C(O)c1cc(Br)ccc1Cl,3
bide-uc-932,O=C(O)Cc1cc(Br)ccc1F,3
bide-uc-2966,O=C(O)c1ccc(O)c(C(F)(F)F)c1,3
bide-uc-1053,O=C(O)[C@H]1CCCO1,3
bide-uc-924,O=C(O)CC1CCCC1,3
bide-uc-3785,CN(C(=O)C(=O)O)c1ccccc1,3
bide-uc-1005,O=C(O)c1ccc(CO)cc1,3
bide-uc-4954,O=C(O)C1Cc2cc(Cl)ccc2N1,3
bide-uc-2979,O=C(O)CCO,3
bide-uc-837,O=C(O)c1ccc(C(F)(F)F)cc1F,3
bide-uc-1686,Cc1cccc(Br)c1C(=O)O,3
bide-uc-3530,CC1CCCC(C(=O)O)N1,3
bide-uc-3585,O=C(O)c1ccc(O)cc1Br,3
bide-uc-778,Cc1ccc(C(=O)O)cc1Cl,3
bide-uc-1856,O=C(O)c1ccccc1CBr,3
bide-uc-3612,O=C(O)C1CCOc2ccccc2O1,3
bide-uc-23,O=C(O)c1ccco1,3
bide-uc-331,O=C(O)c1ccc2c(c1)OCO2,3
bide-uc-977,O=C(O)c1ccc(O)cc1F,3
bide-uc-3776,Cc1c(Cl)ccc(C(=O)O)c1F,3
bide-uc-4735,COc1cc(C)c(Br)cc1C(=O)O,3
bide-uc-680,Cc1cc(F)ccc1C(=O)O,3
bide-uc-1905,O=C(O)c1cc(F)cc(F)c1Br,3
bide-uc-131,CC(C)(C)CC(=O)O,3
bide-uc-3628,Cc1c(Br)ccc(C(=O)O)c1F,3
bide-uc-360,CC1(C)C(C(=O)O)C1(C)C,3
bide-uc-4082,O=C(O)Cc1c(F)cc(Br)c(F)c1F,3
bide-uc-2543,O=C(O)c1cc(O)cc(C(F)(F)F)c1,3
bide-uc-2263,Cc1cc(C)cc(CC(=O)O)c1,3
bide-uc-4252,O=C(O)c1c(F)ccc(C(F)(F)F)c1F,3
bide-uc-5159,CNC1(C(=O)O)CC1,3
bide-uc-4286,Cc1cc(F)c(C(=O)O)cc1Br,3
bide-uc-3014,CC(O)(C(=O)O)C(F)(F)F,3
bide-uc-1653,O=C(O)c1cc(F)c(Br)cc1Cl,3
